date_and_time,lat,lon,speed
16-04-12 15:51:36:000,32.092819,34.978741,11
16-04-12 15:51:37:000,32.09281,34.978758,9
16-04-12 15:51:38:000,32.092814,34.978777,10
16-04-12 15:51:39:000,32.092836,34.978807,11
16-04-12 15:51:40:000,32.092871,34.97884,12
16-04-12 15:51:41:000,32.092896,34.978863,11
16-04-12 15:51:42:000,32.09293,34.978888,11
16-04-12 15:51:43:000,32.092911,34.978912,10
16-04-12 15:51:44:000,32.092961,34.978936,12
16-04-12 15:51:45:000,32.092978,34.978954,12
16-04-12 15:51:46:000,32.093015,34.978982,12
16-04-12 15:51:47:000,32.093036,34.979013,12
16-04-12 15:51:48:000,32.093084,34.979038,13
16-04-12 15:51:49:000,32.093102,34.979058,12
16-04-12 15:51:50:000,32.093115,34.97908,12
16-04-12 15:51:51:000,32.093152,34.979097,13
16-04-12 15:51:52:000,32.093172,34.97911,12
16-04-12 15:51:53:000,32.093186,34.979135,12
16-04-12 15:51:54:000,32.093219,34.979144,11
16-04-12 15:51:55:000,32.093242,34.97917,13
16-04-12 15:51:56:000,32.093256,34.979201,12
16-04-12 15:51:57:000,32.09329,34.979219,12
16-04-12 15:51:58:000,32.093309,34.979238,11
16-04-12 15:51:59:000,32.093329,34.979257,10
16-04-12 15:52:00:000,32.093353,34.979273,11
16-04-12 15:52:01:000,32.093386,34.979293,12
16-04-12 15:52:02:000,32.093394,34.979318,12
16-04-12 15:52:03:000,32.093408,34.979337,11
16-04-12 15:52:04:000,32.093451,34.979356,13
16-04-12 15:52:05:000,32.093462,34.97938,11
16-04-12 15:52:06:000,32.093472,34.979407,11
16-04-12 15:52:07:000,32.093501,34.979435,10
16-04-12 15:52:08:000,32.093549,34.979459,12
16-04-12 15:52:09:000,32.09357,34.979472,10
16-04-12 15:52:10:000,32.093587,34.9795,10
16-04-12 15:52:11:000,32.093583,34.97952,11
16-04-12 15:52:12:000,32.0936,34.979544,11
16-04-12 15:52:13:000,32.09362,34.979567,10
16-04-12 15:52:14:000,32.09363,34.979582,8
16-04-12 15:52:15:000,32.093657,34.979595,9
16-04-12 15:52:16:000,32.093686,34.979591,10
16-04-12 15:52:17:000,32.093726,34.979591,11
16-04-12 15:52:18:000,32.093761,34.979589,11
16-04-12 15:52:19:000,32.093784,34.979574,10
16-04-12 15:52:20:000,32.093799,34.979567,10
16-04-12 15:52:21:000,32.093842,34.979551,11
16-04-12 15:52:22:000,32.093887,34.979509,13
16-04-12 15:52:23:000,32.093915,34.97948,12
16-04-12 15:52:24:000,32.093954,34.979482,11
16-04-12 15:52:25:000,32.093963,34.979473,10
16-04-12 15:52:26:000,32.093971,34.979495,9
16-04-12 15:52:27:000,32.094015,34.979463,11
16-04-12 15:52:28:000,32.094041,34.979463,11
16-04-12 15:52:29:000,32.094086,34.979424,13
16-04-12 15:52:30:000,32.09411,34.979406,12
16-04-12 15:52:31:000,32.094118,34.979395,10
16-04-12 15:52:32:000,32.094155,34.979354,13
16-04-12 15:52:33:000,32.094186,34.979324,11
16-04-12 15:52:34:000,32.094212,34.979303,11
16-04-12 15:52:35:000,32.094234,34.979296,9
16-04-12 15:52:36:000,32.094258,34.979295,9
16-04-12 15:52:37:000,32.094303,34.97927,13
16-04-12 15:52:38:000,32.094336,34.97926,13
16-04-12 15:52:39:000,32.094373,34.979255,13
16-04-12 15:52:40:000,32.094402,34.979247,13
16-04-12 15:52:41:000,32.094432,34.979215,13
16-04-12 15:52:42:000,32.094473,34.979206,14
16-04-12 15:52:43:000,32.094488,34.979174,13
16-04-12 15:52:44:000,32.094501,34.979192,11
16-04-12 15:52:45:000,32.094498,34.97916,9
16-04-12 15:52:46:000,32.09451,34.979143,8
16-04-12 15:52:47:000,32.094519,34.979128,8
16-04-12 15:52:48:000,32.094539,34.979099,8
16-04-12 15:52:49:000,32.094547,34.979077,8
16-04-12 15:52:50:000,32.094556,34.979047,9
16-04-12 15:52:51:000,32.094588,34.979014,10
16-04-12 15:52:52:000,32.094625,34.978987,14
16-04-12 15:52:53:000,32.094645,34.978955,13
16-04-12 15:52:54:000,32.094658,34.978928,12
16-04-12 15:52:55:000,32.094695,34.978913,13
16-04-12 15:52:56:000,32.094724,34.978893,13
16-04-12 15:52:57:000,32.094748,34.978871,12
16-04-12 15:52:58:000,32.094756,34.978845,11
16-04-12 15:52:59:000,32.09476,34.978811,10
16-04-12 15:53:00:000,32.094782,34.978772,11
16-04-12 15:53:01:000,32.0948,34.978741,10
16-04-12 15:53:02:000,32.094826,34.978733,11
16-04-12 15:53:03:000,32.094852,34.978691,11
16-04-12 15:53:04:000,32.09486,34.978679,11
16-04-12 15:53:05:000,32.094885,34.978636,11
16-04-12 15:53:06:000,32.094877,34.978602,12
16-04-12 15:53:07:000,32.094892,34.978561,12
16-04-12 15:53:08:000,32.094897,34.978552,10
16-04-12 15:53:09:000,32.094904,34.978502,11
